C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
연천군,Yeoncheon-gun,17.0,2008.0,2024.0,30805.0,24185.0,-6620.0,-21.49,-373.0,-0.037,0.781,41800.0,working_age,15-64세 생산연령인구,완만한 감소,31350,연천군,global_exact_name
가평군,Gapyeong-gun,17.0,2008.0,2024.0,38701.0,38049.0,-652.0,-1.68,-36.5,-0.004,0.017,41820.0,working_age,15-64세 생산연령인구,완만한 감소,31370,가평군,global_exact_name
양평군,Yangpyeong-gun,17.0,2008.0,2024.0,61381.0,76417.0,15036.0,24.5,941.2,0.094,0.84,41830.0,working_age,15-64세 생산연령인구,완만한 증가,31380,양평군,global_exact_name
춘천시,Chuncheon-si,17.0,2008.0,2024.0,183935.0,193624.0,9689.0,5.27,592.7,0.059,0.399,51110.0,working_age,15-64세 생산연령인구,완만한 증가,32010,춘천시,global_exact_name
원주시,Wonju-si,17.0,2008.0,2024.0,214453.0,251437.0,36984.0,17.25,2520.1,0.252,0.881,51130.0,working_age,15-64세 생산연령인구,증가,32020,원주시,global_exact_name
강릉시,Gangneung-si,17.0,2008.0,2024.0,153929.0,134508.0,-19421.0,-12.62,-1092.9,-0.109,0.848,51150.0,working_age,15-64세 생산연령인구,감소,32030,강릉시,global_exact_name
동해시,Donghae-si,17.0,2008.0,2024.0,67536.0,56722.0,-10814.0,-16.01,-678.2,-0.068,0.898,51170.0,working_age,15-64세 생산연령인구,완만한 감소,32040,동해시,global_exact_name
태백시,Taebaek-si,17.0,2008.0,2024.0,36593.0,22914.0,-13679.0,-37.38,-887.2,-0.089,0.967,51190.0,working_age,15-64세 생산연령인구,완만한 감소,32050,태백시,global_exact_name
속초시,Sokcho-si,17.0,2008.0,2024.0,59810.0,53332.0,-6478.0,-10.83,-329.3,-0.033,0.806,51210.0,working_age,15-64세 생산연령인구,완만한 감소,32060,속초시,global_exact_name
삼척시,Samcheok-si,17.0,2008.0,2024.0,48791.0,37956.0,-10835.0,-22.21,-801.2,-0.08,0.834,51230.0,working_age,15-64세 생산연령인구,완만한 감소,32070,삼척시,global_exact_name
홍천군,Hongcheon-gun,17.0,2008.0,2024.0,47212.0,39186.0,-8026.0,-17.0,-428.8,-0.043,0.634,51720.0,working_age,15-64세 생산연령인구,완만한 감소,32310,홍천군,global_exact_name
횡성군,Hoengseong-gun,17.0,2008.0,2024.0,28838.0,26112.0,-2726.0,-9.45,-128.6,-0.013,0.285,51730.0,working_age,15-64세 생산연령인구,완만한 감소,32320,횡성군,global_exact_name
영월군,Yeongwol-gun,17.0,2008.0,2024.0,26758.0,21166.0,-5592.0,-20.9,-331.9,-0.033,0.772,51750.0,working_age,15-64세 생산연령인구,완만한 감소,32330,영월군,global_exact_name
평창군,Pyeongchang-gun,17.0,2008.0,2024.0,29757.0,23714.0,-6043.0,-20.31,-367.2,-0.037,0.822,51760.0,working_age,15-64세 생산연령인구,완만한 감소,32340,평창군,global_exact_name
정선군,Jeongseon-gun,17.0,2008.0,2024.0,28815.0,19623.0,-9192.0,-31.9,-547.4,-0.055,0.944,51770.0,working_age,15-64세 생산연령인구,완만한 감소,32350,정선군,global_exact_name
철원군,Cheorwon-gun,17.0,2008.0,2024.0,32482.0,25097.0,-7385.0,-22.74,-445.5,-0.045,0.715,51780.0,working_age,15-64세 생산연령인구,완만한 감소,32360,철원군,global_exact_name
화천군,Hwacheon-gun,17.0,2008.0,2024.0,16048.0,14364.0,-1684.0,-10.49,-100.1,-0.01,0.147,51790.0,working_age,15-64세 생산연령인구,완만한 감소,32370,화천군,global_exact_name
양구군,Yanggu-gun,17.0,2008.0,2024.0,14254.0,12975.0,-1279.0,-8.97,-74.1,-0.007,0.092,51800.0,working_age,15-64세 생산연령인구,완만한 감소,32380,양구군,global_exact_name
인제군,Inje-gun,17.0,2008.0,2024.0,21349.0,20265.0,-1084.0,-5.08,-51.6,-0.005,0.118,51810.0,working_age,15-64세 생산연령인구,완만한 감소,32390,인제군,global_exact_name
고성군,Goseong-gun,17.0,2008.0,2024.0,20450.0,15898.0,-4552.0,-22.26,-329.2,-0.033,0.792,51820.0,working_age,15-64세 생산연령인구,완만한 감소,32400,고성군,province_exact_name
양양군,Yangyang-gun,17.0,2008.0,2024.0,19006.0,15908.0,-3098.0,-16.3,-161.5,-0.016,0.944,51830.0,working_age,15-64세 생산연령인구,완만한 감소,32410,양양군,global_exact_name
