sido,sigungu,region,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_inside_10k,avg_outside_10k,avg_total_10k
서울특별시,강북구,서울특별시 강북구,52,434326.0961538461,175196.28846153847,609522.3846153846,28.74320826987991,43.432609615384614,17.519628846153847,60.952238461538464
서울특별시,도봉구,서울특별시 도봉구,52,456036.32692307694,145270.9423076923,601307.2692307692,24.15918611686371,45.60363269230769,14.527094230769231,60.13072692307693
인천광역시,계양구,인천광역시 계양구,52,451081.5961538461,150159.4423076923,601241.0384615385,24.974915666422532,45.108159615384615,15.01594423076923,60.12410384615385
강원특별자치도,강릉시,강원특별자치도 강릉시,52,442134.67307692306,159041.32692307694,601176.0,26.455035950050725,44.213467307692305,15.904132692307694,60.1176
부산광역시,남구,부산광역시 남구,52,424239.1538461539,169720.09615384616,593959.25,28.57436703845359,42.423915384615384,16.972009615384614,59.395925
경상북도,포항시 남구,경상북도 포항시 남구,52,402010.3846153846,186072.01923076922,588082.4038461539,31.640467052547088,40.20103846153846,18.60720192307692,58.80824038461539
서울특별시,금천구,서울특별시 금천구,52,355489.46153846156,230272.8076923077,585762.2692307692,39.31164907475262,35.54894615384615,23.027280769230767,58.57622692307692
대전광역시,중구,대전광역시 중구,52,363803.03846153844,218460.5,582263.5384615385,37.519179129302536,36.38030384615384,21.84605,58.22635384615385
경기도,이천시,경기도 이천시,52,395788.1153846154,178497.01923076922,574285.1346153846,31.081601885849587,39.57881153846154,17.84970192307692,57.428513461538465
경기도,군포시,경기도 군포시,52,421570.6923076923,147119.76923076922,568690.4615384615,25.869920313551674,42.15706923076923,14.711976923076922,56.86904615384615
경기도,고양시 일산서구,경기도 고양시 일산서구,52,393737.96153846156,171336.25,565074.2115384615,30.321017399382434,39.37379615384616,17.133625,56.50742115384615
경기도,수원시 장안구,경기도 수원시 장안구,52,394875.6538461539,165084.59615384616,559960.25,29.481484829297465,39.48756538461539,16.508459615384616,55.996025
경기도,수원시 팔달구,경기도 수원시 팔달구,52,269258.75,288821.25,558080.0,51.75266090883027,26.925875,28.882125,55.808
