C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
중구,Jung-gu,17.0,2008.0,2024.0,16327.0,42004.0,25677.0,157.27,1605.0,0.161,0.984,31110.0,older,65세 이상 고령층 인구,증가,26010,중구,province_exact_name
남구,Nam-gu,17.0,2008.0,2024.0,18239.0,50834.0,32595.0,178.71,2010.1,0.201,0.975,31140.0,older,65세 이상 고령층 인구,증가,26020,남구,province_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,8376.0,27409.0,19033.0,227.23,1164.4,0.116,0.961,31170.0,older,65세 이상 고령층 인구,증가,26030,동구,province_exact_name
북구,Buk-gu,17.0,2008.0,2024.0,8493.0,25461.0,16968.0,199.79,1019.1,0.102,0.932,31200.0,older,65세 이상 고령층 인구,증가,26040,북구,province_exact_name
울주군,Ulju-gun,17.0,2008.0,2024.0,18560.0,42994.0,24434.0,131.65,1484.5,0.148,0.952,31710.0,older,65세 이상 고령층 인구,증가,26310,울주군,global_exact_name
,,,,,,,,,,,,,,,,29010,세종시,unmatched
장안구,Jangan-gu,17.0,2008.0,2024.0,21102.0,45662.0,24560.0,116.39,1462.0,0.146,0.98,41111.0,older,65세 이상 고령층 인구,증가,31011,수원시장안구,suffix_name
권선구,Gwonseon-gu,17.0,2008.0,2024.0,19422.0,54222.0,34800.0,179.18,2159.0,0.216,0.974,41113.0,older,65세 이상 고령층 인구,증가,31012,수원시권선구,suffix_name
팔달구,Paldal-gu,17.0,2008.0,2024.0,17477.0,33564.0,16087.0,92.05,920.9,0.092,0.962,41115.0,older,65세 이상 고령층 인구,완만한 증가,31013,수원시팔달구,suffix_name
영통구,Yeongtong-gu,17.0,2008.0,2024.0,11004.0,34874.0,23870.0,216.92,1540.0,0.154,0.979,41117.0,older,65세 이상 고령층 인구,증가,31014,수원시영통구,suffix_name
수정구,Sujeong-gu,17.0,2008.0,2024.0,20231.0,46084.0,25853.0,127.79,1607.7,0.161,0.984,41131.0,older,65세 이상 고령층 인구,증가,31021,성남시수정구,suffix_name
중원구,Jungwon-gu,17.0,2008.0,2024.0,20313.0,41360.0,21047.0,103.61,1243.6,0.124,0.987,41133.0,older,65세 이상 고령층 인구,증가,31022,성남시중원구,suffix_name
분당구,Bundang-gu,17.0,2008.0,2024.0,33642.0,73855.0,40213.0,119.53,2353.6,0.235,0.99,41135.0,older,65세 이상 고령층 인구,증가,31023,성남시분당구,suffix_name
의정부시,Uijeongbu-si,17.0,2008.0,2024.0,37926.0,87072.0,49146.0,129.58,2999.2,0.3,0.976,41150.0,older,65세 이상 고령층 인구,증가,31030,의정부시,global_exact_name
만안구,Manan-gu,17.0,2008.0,2024.0,21423.0,47483.0,26060.0,121.64,1569.5,0.157,0.972,41171.0,older,65세 이상 고령층 인구,증가,31041,안양시만안구,suffix_name
동안구,Dongan-gu,17.0,2008.0,2024.0,23380.0,49965.0,26585.0,113.71,1490.4,0.149,0.937,41173.0,older,65세 이상 고령층 인구,증가,31042,안양시동안구,suffix_name
부천시,Bucheon-si,17.0,2008.0,2024.0,58350.0,144277.0,85927.0,147.26,5230.4,0.523,0.967,41190.0,older,65세 이상 고령층 인구,급격한 증가,31050,부천시,global_exact_name
광명시,Gwangmyeong-si,17.0,2008.0,2024.0,24435.0,49660.0,25225.0,103.23,1478.9,0.148,0.994,41210.0,older,65세 이상 고령층 인구,증가,31060,광명시,global_exact_name
평택시,Pyeongtaek-si,17.0,2008.0,2024.0,38541.0,82782.0,44241.0,114.79,2652.8,0.265,0.966,41220.0,older,65세 이상 고령층 인구,증가,31070,평택시,global_exact_name
동두천시,Dongducheon-si,17.0,2008.0,2024.0,10971.0,22464.0,11493.0,104.76,696.1,0.07,0.997,41250.0,older,65세 이상 고령층 인구,완만한 증가,31080,동두천시,global_exact_name
상록구,Sangnok-gu,17.0,2008.0,2024.0,23164.0,51240.0,28076.0,121.21,1649.5,0.165,0.963,41271.0,older,65세 이상 고령층 인구,증가,31091,안산시상록구,suffix_name
단원구,Danwon-gu,17.0,2008.0,2024.0,18519.0,43022.0,24503.0,132.31,1401.1,0.14,0.915,41273.0,older,65세 이상 고령층 인구,증가,31092,안산시단원구,suffix_name
덕양구,Deogyang-gu,17.0,2008.0,2024.0,35803.0,87776.0,51973.0,145.16,3289.2,0.329,0.976,41281.0,older,65세 이상 고령층 인구,증가,31101,고양시덕양구,suffix_name
일산동구,Ilsandong-gu,17.0,2008.0,2024.0,20491.0,48717.0,28226.0,137.75,1689.9,0.169,0.959,41285.0,older,65세 이상 고령층 인구,증가,31103,고양시일산동구,suffix_name
일산서구,Ilsanseo-gu,17.0,2008.0,2024.0,23271.0,47958.0,24687.0,106.08,1486.4,0.149,0.952,41287.0,older,65세 이상 고령층 인구,증가,31104,고양시일산서구,suffix_name
과천시,Gwacheon-si,17.0,2008.0,2024.0,6040.0,12816.0,6776.0,112.19,352.0,0.035,0.821,41290.0,older,65세 이상 고령층 인구,완만한 증가,31110,과천시,global_exact_name
구리시,Guri-si,17.0,2008.0,2024.0,14312.0,33143.0,18831.0,131.57,1165.0,0.117,0.973,41310.0,older,65세 이상 고령층 인구,증가,31120,구리시,global_exact_name
남양주시,Namyangju-si,17.0,2008.0,2024.0,44113.0,129635.0,85522.0,193.87,5277.1,0.528,0.981,41360.0,older,65세 이상 고령층 인구,급격한 증가,31130,남양주시,global_exact_name
오산시,Osan-si,17.0,2008.0,2024.0,8574.0,29606.0,21032.0,245.3,1211.8,0.121,0.971,41370.0,older,65세 이상 고령층 인구,증가,31140,오산시,global_exact_name
시흥시,Siheung-si,17.0,2008.0,2024.0,22835.0,65152.0,42317.0,185.32,2542.4,0.254,0.904,41390.0,older,65세 이상 고령층 인구,증가,31150,시흥시,global_exact_name
