topo_code,topo_name,C1,C1_NM,kosis_prefix,sido,sigungu,living_population,registered_population,stay_population,foreign_population,region,living_registered_ratio,stay_share_pct,foreign_share_pct,living_population_10k,registered_population_10k,stay_population_10k,foreign_population_10k,has_living_population
34060,논산시,44230,논산시,44,충청남도,논산시,463798.3333333333,107260.0,349732.0,6806.333333333333,충청남도 논산시,4.324056808999938,75.4060493245987,1.4675200068995504,46.37983333333333,10.726,34.9732,0.6806333333333333,True
34070,계룡시,44250,계룡시,44,,,,,,,,,,,,,,,False
34080,당진시,44270,당진시,44,,,,,,,,,,,,,,,False
34310,금산군,44710,금산군,44,충청남도,금산군,298822.6666666667,49169.666666666664,246017.33333333334,3635.6666666666665,충청남도 금산군,6.077378329457864,82.32887286551221,1.216663617663988,29.88226666666667,4.916966666666666,24.601733333333335,0.36356666666666665,True
34330,부여군,44760,부여군,44,충청남도,부여군,285113.6666666667,58715.666666666664,224339.33333333334,2058.6666666666665,충청남도 부여군,4.855836318529411,78.68417391426344,0.7220512053087598,28.511366666666667,5.871566666666666,22.433933333333336,0.20586666666666664,True
34340,서천군,44770,서천군,44,충청남도,서천군,269910.3333333333,47533.333333333336,220611.66666666666,1765.3333333333333,충청남도 서천군,5.678338008415147,81.73516884002218,0.6540443678209183,26.99103333333333,4.753333333333334,22.061166666666665,0.17653333333333332,True
34350,청양군,44790,청양군,44,충청남도,청양군,134337.0,29137.333333333332,103802.66666666667,1397.0,충청남도 청양군,4.610476822404247,77.27034745949862,1.039921987241043,13.4337,2.913733333333333,10.380266666666667,0.1397,True
34360,홍성군,44800,홍성군,44,,,,,,,,,,,,,,,False
34370,예산군,44810,예산군,44,충청남도,예산군,398645.3333333333,78922.33333333333,314729.0,4994.0,충청남도 예산군,5.051109318443871,78.94962606694673,1.252742621678752,39.864533333333334,7.8922333333333325,31.4729,0.4994,True
34380,태안군,44825,태안군,44,충청남도,태안군,627639.6666666666,59737.0,565484.6666666666,2418.0,충청남도 태안군,10.506715547594734,90.09702488529777,0.38525289723031103,62.76396666666666,5.9737,56.54846666666666,0.2418,True
35011,전주시완산구,52111,완산구,52,,,,,,,,,,,,,,,False
35012,전주시덕진구,52113,덕진구,52,,,,,,,,,,,,,,,False
35020,군산시,52130,군산시,52,,,,,,,,,,,,,,,False
35030,익산시,52140,익산시,52,,,,,,,,,,,,,,,False
35040,정읍시,52180,정읍시,52,전북특별자치도,정읍시,336569.3333333333,100964.33333333333,231873.33333333334,3731.6666666666665,전북특별자치도 정읍시,3.333546830068704,68.8931849604044,1.1087363871535136,33.656933333333335,10.096433333333334,23.187333333333335,0.37316666666666665,True
35050,남원시,52190,남원시,52,전북특별자치도,남원시,352730.3333333333,74856.66666666667,275855.3333333333,2018.3333333333333,전북특별자치도 남원시,4.712076412699826,78.20573034546693,0.5722029387889331,35.27303333333333,7.485666666666667,27.58553333333333,0.20183333333333334,True
35060,김제시,52210,김제시,52,전북특별자치도,김제시,312980.6666666667,81483.0,227902.33333333334,3595.3333333333335,전북특별자치도 김제시,3.84105478034273,72.8167448042584,1.1487397517631548,31.298066666666667,8.1483,22.790233333333333,0.35953333333333337,True
35310,완주군,52710,완주군,52,,,,,,,,,,,,,,,False
35320,진안군,52720,진안군,52,전북특별자치도,진안군,176156.33333333334,24191.333333333332,150879.66666666666,1085.3333333333333,전북특별자치도 진안군,7.281795133243311,85.65100318088666,0.6161193939474217,17.615633333333335,2.4191333333333334,15.087966666666667,0.10853333333333333,True
35330,무주군,52730,무주군,52,전북특별자치도,무주군,246881.66666666666,22851.333333333332,222947.33333333334,1083.0,전북특별자치도 무주군,10.803818887300523,90.30534196544903,0.4386716983170075,24.688166666666664,2.285133333333333,22.294733333333333,0.1083,True
35340,장수군,52740,장수군,52,전북특별자치도,장수군,115772.33333333333,20409.666666666668,94601.66666666667,761.0,전북특별자치도 장수군,5.672426464583775,81.7135354733572,0.6573245766835485,11.577233333333332,2.040966666666667,9.460166666666668,0.0761,True
35350,임실군,52750,임실군,52,전북특별자치도,임실군,165974.0,25311.0,140087.0,576.0,전북특별자치도 임실군,6.557386116708151,84.40297877980889,0.3470423078313471,16.5974,2.5311,14.0087,0.0576,True
35360,순창군,52770,순창군,52,전북특별자치도,순창군,148671.33333333334,26749.0,121285.0,637.3333333333334,전북특별자치도 순창군,5.558014629830399,81.5792777805181,0.42868609505531213,14.867133333333335,2.6749,12.1285,0.06373333333333334,True
35370,고창군,52790,고창군,52,전북특별자치도,고창군,277390.0,50568.0,223290.66666666666,3531.3333333333335,전북특별자치도 고창군,5.485484891631071,80.49701383130851,1.2730571878342165,27.739,5.0568,22.329066666666666,0.35313333333333335,True
35380,부안군,52800,부안군,52,전북특별자치도,부안군,346944.6666666667,47457.0,297959.6666666667,1528.0,전북특별자치도 부안군,7.310716367799622,85.88103386322891,0.440416050974507,34.69446666666667,4.7457,29.79596666666667,0.1528,True
36010,목포시,46110,목포시,46,,,,,,,,,,,,,,,False
36020,여수시,46130,여수시,46,,,,,,,,,,,,,,,False
36030,순천시,46150,순천시,46,,,,,,,,,,,,,,,False
36040,나주시,46170,나주시,46,,,,,,,,,,,,,,,False
36060,광양시,46230,광양시,46,,,,,,,,,,,,,,,False
