C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
행정구역별(시도),계,70952,0,03,A,In person,T18,DT_1JA1503,태국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Thailand,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,16962,0,03,A,In person,T19,DT_1JA1503,인도네시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Indonesia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,14006,0,03,A,In person,T20,DT_1JA1503,캄보디아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Cambodia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,10242,0,03,A,In person,T21,DT_1JA1503,미얀마,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Republic of the Union of Myanmar,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,7451,0,03,A,In person,T22,DT_1JA1503,스리랑카,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Sri Lanka,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,7277,0,03,A,In person,T23,DT_1JA1503,파키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Pakistan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,5784,0,03,A,In person,T24,DT_1JA1503,방글라데시,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Bangladesh,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,11151,0,03,A,In person,T25,DT_1JA1503,네팔,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Nepal,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,35360,0,03,A,In person,T26,DT_1JA1503,우즈베키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Uzbekistan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,17847,0,03,A,In person,T27,DT_1JA1503,카자흐스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Kazakhstan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,13078,0,03,A,In person,T28,DT_1JA1503,러시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Russia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,58154,0,03,A,In person,T29,DT_1JA1503,미국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,United States,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,12421,0,03,A,In person,T35,DT_1JA1503,캐나다,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Canada,By gender,Total,101,By administrative divisions,성별
