C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년인구비율(19~34세),24.3,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.3,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.3,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.0,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2460025.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-17,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2397917.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-17,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2361731.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-17,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2341942.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-17,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2348076.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-17,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2338802.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-17,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2298838.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-17,서울특별시,명,101,청년인구비율 지표
