C2,PRD_SE,ITM_ID,TBL_ID,PRD_DE,C3_NM,C3_OBJ_NM_ENG,C2_OBJ_NM_ENG,C1_OBJ_NM_ENG,C1_OBJ_NM,C2_NM,C3,DT,C1,UNIT_NM_ENG,C3_NM_ENG,ITM_NM,TBL_NM,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_NM_ENG,C3_OBJ_NM,ORG_ID,C2_OBJ_NM
29155,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,남  구,0,19,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Nam-gu,성별,101,전입지별
29170,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,북  구,0,33,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Buk-gu,성별,101,전입지별
29200,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,광산구,0,21,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gwangsan-gu,성별,101,전입지별
30,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,대전광역시,0,180,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Daejeon,성별,101,전입지별
30110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동  구,0,24,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dong-gu,성별,101,전입지별
30140,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,중  구,0,27,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Jung-gu,성별,101,전입지별
30170,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,서  구,0,47,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Seo-gu,성별,101,전입지별
30200,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,유성구,0,76,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Yuseong-gu,성별,101,전입지별
30230,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,대덕구,0,6,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Daedeok-gu,성별,101,전입지별
31,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,울산광역시,0,62,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Ulsan,성별,101,전입지별
31110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,중구,0,15,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Jung-gu,성별,101,전입지별
