C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,전체인구,355789.0,13,11060,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),29.0,21,11060,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),103201.0,22,11060,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,명,101,청년인구비율 지표
행정구역별,전체인구,355789.0,23,11060,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),18.7,31,11060,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),66568.0,32,11060,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,명,101,청년인구비율 지표
행정구역별,전체인구,355789.0,33,11060,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),28.9,11,11070,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),108517.0,12,11070,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,명,101,청년인구비율 지표
행정구역별,전체인구,375066.0,13,11070,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),22.1,21,11070,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),82747.0,22,11070,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,명,101,청년인구비율 지표
행정구역별,전체인구,375066.0,23,11070,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),14.7,31,11070,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),55295.0,32,11070,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,명,101,청년인구비율 지표
행정구역별,전체인구,375066.0,33,11070,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중랑구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),31.9,11,11080,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),136783.0,12,11080,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,명,101,청년인구비율 지표
행정구역별,전체인구,429210.0,13,11080,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),25.7,21,11080,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),110363.0,22,11080,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,명,101,청년인구비율 지표
행정구역별,전체인구,429210.0,23,11080,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),16.9,31,11080,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),72681.0,32,11080,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,명,101,청년인구비율 지표
행정구역별,전체인구,429210.0,33,11080,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성북구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),26.6,11,11090,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),74683.0,12,11090,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,명,101,청년인구비율 지표
행정구역별,전체인구,280470.0,13,11090,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.2,21,11090,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),59393.0,22,11090,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,명,101,청년인구비율 지표
행정구역별,전체인구,280470.0,23,11090,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),13.8,31,11090,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),38569.0,32,11090,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,명,101,청년인구비율 지표
행정구역별,전체인구,280470.0,33,11090,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,강북구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),25.1,11,11100,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),74551.0,12,11100,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,명,101,청년인구비율 지표
행정구역별,전체인구,296997.0,13,11100,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),19.5,21,11100,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),57846.0,22,11100,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,명,101,청년인구비율 지표
행정구역별,전체인구,296997.0,23,11100,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),12.7,31,11100,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,도봉구,%,101,청년인구비율 지표
